Suburb,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Growth(PA)
KOROIT,275000,300000,296000,294000,325000,352000,347500,390000,490000,580000,582500,520000,7.8
KORUMBURRA,236000,222500,262500,257500,292000,317500,320000,391000,480000,525000,550000,495000,8.8
KURUNJANG,287000,280000,289500,310000,370000,435000,420000,432000,485000,550000,520000,512500,6.1
KYABRAM,237000,235000,240000,234000,239000,261000,263000,280000,319500,400000,455000,485000,6.7
KYNETON,369000,400000,425500,455000,495000,550000,595000,614000,755000,897500,775000,710000,7.7
LAKE BOGA,200000,143500,245000,222500,182500,232500,239000,230000,320000,391000,446000,NA,8.4
LAKE BUNGA,197500,162500,270000,270000,392500,380000,300000,350000,600000,650000,525000,630000,10.3
LAKE GARDENS,445000,445000,461000,485000,461500,575000,552500,607500,705000,738500,785000,686500,5.8
LAKE TYERS BEACH,270000,354000,330000,268500,362500,300000,357500,375000,505000,645000,590000,540000,8.1
LAKE WENDOUREE,634000,650000,685000,700000,795000,775000,855000,1000000,1230000,1275000,1300000,865000,7.4
LAKES ENTRANCE,269500,254000,255500,280000,281500,328000,300000,350000,422500,540000,512500,578500,6.6
LALOR,365000,385000,445000,499500,625500,625000,590000,623000,700000,700000,680000,691500,6.4
LANCEFIELD,377500,362000,360000,360000,416000,456000,500000,540000,685000,671500,625000,596500,5.2
LANG LANG,285000,295000,316500,355000,390000,475000,495000,540000,657000,720000,707500,672500,9.5
LANGWARRIN,385000,420000,450000,503000,600000,642500,610000,660000,805000,860000,835000,810000,8.0
LARA,350000,340000,348000,355000,430000,515000,495000,535000,682500,700000,682500,658500,6.9
LARA LAKE,363000,398000,375000,395000,450500,525000,535500,575000,663000,702000,710000,672500,6.9
LAUNCHING PLACE,330000,337500,366000,435000,490000,531000,554000,572500,688500,778500,650000,670000,7.0
LAVERTON,325000,358000,377500,429000,535000,579000,529000,560000,605000,610000,585000,576000,6.1
LAVERTON SOUTH,391500,425000,450000,528500,607500,646000,622500,647500,730000,751000,735000,806000,6.5
LENEVA,361500,372500,370500,376000,397500,387500,426000,470000,554000,650000,685000,650000,6.6
LEONGATHA,300000,295500,305000,305000,320000,360000,370000,426000,505000,589000,580000,570000,6.8
LEOPOLD,360000,366500,365000,407000,447000,500500,510000,535000,652000,709000,680000,717500,6.6
LILYDALE,469000,482500,534000,633500,710500,705000,675500,710000,844500,870000,926000,893000,7.0
LINDENOW,200000,226000,212500,212000,245000,313500,282500,282500,385000,466000,372500,NA,6.4
LISMORE,110000,109000,115000,141500,155000,132500,144500,220000,176000,277500,255000,142500,8.8
LOCH SPORT,166000,153500,145000,178000,182000,230000,245000,247000,324500,392500,390000,330000,8.9
LONG GULLY,230000,255000,244000,240000,256000,269000,280000,299500,385000,451500,400000,384500,5.7
LONGWARRY,289500,297500,307000,334000,377000,403000,406000,427500,512500,575000,570000,550000,7.0
LORNE,840000,815000,895000,765000,1150000,1275000,1297500,1497500,1960000,2200000,1925000,2100000,8.6
LOVELY BANKS,360500,406500,388500,470000,460000,525000,570000,565000,662500,767500,690000,695000,6.7
LOWER PLENTY,680500,675000,770000,900000,980000,1055000,950000,909500,1220000,1350000,1319000,1200000,6.8
LUCAS,348000,355000,389000,345000,349500,395000,431000,465000,582500,705000,640000,617500,6.3
LUCKNOW,235000,229000,230000,244500,261500,280000,275000,314500,355000,449000,400000,529000,5.5
LYNBROOK,430000,460000,500000,542500,595000,640000,623000,660000,750000,810000,814500,870000,6.6
LYNDHURST,465000,482500,550000,585000,625000,695000,665500,701500,815500,950000,905000,800000,6.9
LYSTERFIELD,681500,670000,780000,857500,995500,976500,956500,994500,1132000,1267500,1305000,1209000,6.7
LYSTERFIELD SOUTH,931500,1000000,1018500,1240000,1300000,1275000,775000,1410000,1618000,1844000,1925500,NA,7.5
MACEDON,490000,460000,532500,585000,696000,815000,800000,883000,1130000,1073000,1105000,920000,8.5
MACLEOD,647500,705000,755000,868000,950000,922500,922500,972500,1156500,1135000,1150000,1190000,5.9
MADDINGLEY,316500,320000,332500,345000,395000,442000,460000,521000,560000,635000,625000,600000,7.0
MAFFRA,229000,215000,230000,258000,251500,261500,255000,315000,338000,376500,425000,497500,6.4
MAIDEN GULLY,440000,415000,430000,477000,471000,495500,514000,579000,725000,760000,797500,731000,6.1
MAIDSTONE,535000,587500,630000,695000,825000,798500,779000,789500,852500,888000,895000,860000,5.3
MALDON,315000,325000,339000,385000,426500,420000,510000,546500,624500,735500,742500,650000,9.0
MALLACOOTA,285000,285000,288500,325000,345000,280000,406500,415000,488500,527500,555000,685000,6.9
MALMSBURY,292500,317500,397500,344000,447000,465000,475000,505000,757500,785000,767500,NA,10.1
MALVERN,1508500,1946000,2230000,2332000,2750000,2661000,2570000,2865000,3001000,2935000,3000000,3123500,7.1
MALVERN EAST,1200000,1380000,1610000,1729000,1824000,1900000,1789000,1895000,2112500,2282500,2175000,2113500,6.1
MAMBOURIN,-,-,-,-,-,-,-,329500,597500,641000,635000,573500,NA
MANIFOLD HEIGHTS,532500,489000,489500,620000,721500,785500,715000,825000,924500,1087500,1050000,750000,7.0
MANOR LAKES,340500,360000,385000,417500,490000,526000,533000,570000,595500,645000,645000,617500,6.6
MANSFIELD,364000,347000,367500,359000,385000,430000,452500,510000,640000,732500,786000,684000,8.0
MARIBYRNONG,714000,750500,837500,940000,1056000,1050000,961500,936500,1165000,1170000,1130000,1350000,4.7
MARLO,295000,285000,335500,305000,432500,385000,355000,405000,435000,686000,655000,NA,8.3
MARONG,310000,345000,364000,330000,348000,365000,420000,465000,560000,650000,622500,650000,7.2
MARSHALL,360000,382500,377000,400000,430000,468000,486500,510000,600000,682000,610000,675000,5.4
MARYBOROUGH,194000,200000,192500,206500,194000,229500,236000,269500,341500,393000,399500,350000,7.5
MARYSVILLE,180000,125000,320000,332500,383000,477500,462500,475000,675000,755000,692500,680000,14.4
MCCRAE,530000,535000,597500,689000,775000,847500,795000,952500,1200000,1285000,1312500,1600000,9.5
MCKENZIE HILL,397000,140000,429500,475000,471500,495000,536500,544500,700000,755000,833000,NA,7.7
MCKINNON,1025000,1220000,1500000,1657500,1720000,1555000,1520500,1675000,2010000,1994000,2000000,NA,6.9
MEADOW HEIGHTS,317000,322500,350500,370000,451000,510000,474000,499000,557500,580000,561000,565000,5.9
MELTON,245000,240000,255000,280500,369000,415000,385000,390000,455000,500000,470500,455000,6.7
MELTON SOUTH,230000,238000,260000,276000,377000,417000,390000,420000,460000,515000,495000,490000,8.0
MELTON WEST,285500,290000,295000,330000,409000,453000,428000,470000,515000,551000,550000,492500,6.8
MENTONE,705000,810000,950000,982500,1097500,1080000,1031000,1050000,1367500,1475000,1337500,1254000,6.6
MENZIES CREEK,515000,428000,580000,597000,640000,760000,682500,745000,1020000,960000,876500,NA,5.5
MERBEIN,140500,167000,180000,170000,183500,180000,210000,201500,227500,320000,300000,357500,7.9
MERINDA PARK,310000,310000,345000,385000,471500,523000,476000,527500,615000,657500,626000,594000,7.3
MERNDA,375000,370000,410000,430000,525000,573500,552000,570000,670000,680000,670000,679000,6.0
MERRIGUM,160500,149000,209500,164500,160000,190000,270000,179000,255000,266500,272500,NA,5.4
METUNG,337500,287500,299000,360000,347500,371500,455000,480000,517500,747500,771000,930000,8.6
MICKLEHAM,213000,168000,390000,437000,500000,520000,525000,565000,623000,680000,680000,684000,12.3
MIDDLE PARK,1587500,2125000,2317000,2238500,2390000,2685000,2775000,2680000,2864000,2750000,2473000,3375000,4.5
MILDURA,225500,245000,252000,260000,264000,281500,310000,337000,380000,425000,436000,458000,6.8
MILL PARK,408000,430500,480000,560000,668500,657000,654000,690000,754500,786000,780000,753000,6.7
MILLGROVE,245000,260000,275000,293500,343000,411000,415000,425000,540000,600000,564000,545000,8.7
MINERS REST,330000,327500,335000,334000,370000,400000,427500,440000,530000,599500,590000,600000,6.0
MINYIP,73500,95000,93000,82500,94000,81000,114500,75000,151500,155000,164500,NA,8.4
MIRBOO NORTH,265000,250000,262000,275000,264000,307500,327500,376000,475000,565000,560000,536500,7.8
MITCHAM,650000,730000,885500,941000,1070000,998000,942000,1066500,1212500,1200000,1210000,1055000,6.4
MITCHELL PARK,267000,267500,260000,259000,263000,304500,313000,330000,400000,486500,462500,465000,5.6
MOE,155000,170000,162500,173000,175000,200000,210000,250000,315000,370000,365000,339000,8.9
MONBULK,395000,425000,471500,521500,608000,650000,630000,650000,790000,799000,770000,758000,6.9
MONT ALBERT,1316000,1490000,1863000,1921000,2100000,1990000,1690000,2170000,2372500,2320000,2384000,NA,6.1
MONT ALBERT NORTH,995000,1100000,1400000,1490000,1565000,1460000,1380000,1437000,1580000,1643000,1715000,1550000,5.6
MONTMORENCY,570000,614000,732000,780500,890000,926000,860000,913000,1162000,1110000,1120000,1400000,7.0
MONTROSE,445000,476500,559000,625000,700500,737500,707500,730000,842500,913500,846000,985000,6.6
MOONEE PONDS,830500,920000,1006000,1110500,1310000,1360000,1300000,1290000,1545000,1582500,1527500,1440000,6.3
MOORABBIN,682000,768000,855000,980000,1160000,1130000,1065000,1075000,1400000,1391500,1300000,1275000,6.7
MOOROOLBARK,440000,465000,558500,620000,725000,720000,670000,720000,836000,870000,821000,847500,6.4
MOOROOPNA,207500,215000,230000,215500,225000,230000,247500,268500,335000,385000,377500,395000,6.2
MORDIALLOC,680000,755000,850000,933000,1120000,1046500,1017500,1089000,1375000,1296500,1385000,970000,7.4
MORNINGTON,525000,558000,641000,745000,800000,850000,810000,894000,1100000,1160000,1069500,980000,7.4
MORTLAKE,129500,152500,120000,152000,170000,165000,164000,220000,290500,327500,349000,NA,10.4
MORWELL,160000,150000,151000,153000,170000,167000,179000,200000,275000,325000,334500,314000,7.7
MOUNT BEAUTY,180000,200000,189500,183000,258000,267500,295000,330000,446000,572500,531500,552000,11.4
MOUNT CLEAR,286000,288000,322500,345000,345000,379000,396500,414000,505000,515000,525000,495000,6.3
MOUNT COTTRELL,-,1800000,1800000,1800000,1800000,1800000,927500,927500,540000,622000,602000,685000,NA
MOUNT DANDENONG,450000,610000,612500,641000,847000,647500,690000,791000,850000,1045000,887500,1350000,7.0
MOUNT DUNEED,286000,532000,545000,425000,497500,555000,557000,593000,696000,750000,720000,715000,9.7
MOUNT ELIZA,750000,777500,832000,950000,1137500,1220000,1180000,1313000,1700000,1730500,1700000,1261000,8.5
MOUNT EVELYN,406000,428500,493500,551000,640000,671500,636000,710000,820000,877500,830000,780000,7.4
MOUNT HELEN,344000,368000,342000,355000,376000,420000,417000,472500,610000,632500,580000,318000,5.4
MOUNT MACEDON,662500,600000,635000,750000,665000,859000,775000,1043000,1623500,1330000,1446000,865000,8.1
MOUNT MARTHA,730000,745000,785000,965000,1050000,1202500,1262500,1420000,1845000,1880000,1820000,1619000,9.6
MOUNT PLEASANT,276500,269500,293500,297500,293000,350000,377500,415000,498000,530000,497500,432500,6.0
MOUNT WAVERLEY,820000,950000,1267500,1265000,1416000,1320000,1270500,1300000,1511000,1509000,1600000,1600000,6.9
MULGRAVE,577500,627000,765500,786000,900500,860000,840000,850000,1000000,996000,1040000,1020000,6.1
MURCHISON,186000,155000,165000,187000,254500,225000,244500,291500,400000,450000,340000,NA,6.2
MURRUMBEENA,870000,982500,1204000,1286000,1420000,1343500,1241500,1405000,1695000,1670000,1641500,1885000,6.6
MURTOA,95000,110000,91000,97500,115000,110000,119000,130000,145000,244500,267500,243500,10.9
MYRTLEFORD,220000,245000,242000,270500,265000,295000,325000,385000,530000,609000,590000,590000,10.4
NAGAMBIE,312500,378000,360500,336000,330000,385000,414000,460000,545000,655000,660000,545000,7.8
NARRE WARREN,370000,386000,430000,487000,590000,614000,587000,610000,700000,740000,727000,727500,7.0
NARRE WARREN NORTH,680000,822500,771500,900000,1108000,1180000,1070000,1167500,1421500,1600000,1565000,1112500,8.7
NARRE WARREN SOUTH,410000,440000,476000,530000,620000,636500,625000,660000,750000,802500,820000,775000,7.2
NATHALIA,165000,190500,178000,185000,232500,210000,229000,256000,265000,350000,370000,380000,8.4
NEERIM SOUTH,340000,336500,280000,330000,320000,406500,413000,473500,530000,600000,665000,585000,6.9
NERRINA,455000,482500,522500,517500,570000,575000,617500,630000,580000,795000,685000,615000,4.2
NEW GISBORNE,500000,510000,498000,545000,625000,757500,695000,720000,798500,875000,850000,NA,5.4
NEWBOROUGH,213000,215000,220000,224500,220000,250000,255000,290000,359000,437500,427000,385500,7.2
NEWCOMB,280000,292000,290500,310000,375000,453500,435000,476000,584000,605000,567500,615000,7.3
NEWINGTON,320000,341000,345000,372500,422500,465000,490000,735000,720000,672500,664500,590000,7.6
NEWLANDS ARM,320000,302000,332500,380000,380000,367500,443000,470000,550000,619500,675000,620000,7.7
NEWPORT,695000,740000,825000,950000,1080000,1059000,1055000,1090000,1286500,1280000,1275000,1135000,6.3
NEWSTEAD,300000,297500,365000,362000,420000,318500,436000,470000,540000,625000,600000,NA,7.2
NEWTOWN (GREATER,570000,620000,642500,712500,780000,843000,832000,945000,1175000,1200000,1165000,990000,7.4
NHILL,110000,125000,128000,140000,126500,149000,137000,158500,180000,210000,205000,330000,6.4
NICHOLS POINT,316500,304000,370000,396000,346000,470000,430000,475000,510000,661000,590000,NA,6.4
NIDDRIE,700000,747500,832500,910000,1100000,1070000,1070000,1000500,1246000,1305000,1189000,1080000,5.4
NOBLE PARK,400000,440000,510000,600000,680000,680000,625500,675000,751000,753500,732000,760000,6.2
NOBLE PARK NORTH,383000,420000,491500,563000,640000,660000,610000,655500,750000,795000,737500,765000,6.8
NORLANE,202500,215000,216000,236500,290000,355000,350000,372000,450000,481500,455000,480000,8.4
NORTH BENDIGO,271000,280000,286000,279000,302000,310000,325000,374000,460500,513000,515000,500000,6.6
NORTH GEELONG,272500,301000,335000,338500,422000,495000,500000,550500,597500,675000,646500,639000,9.0
NORTH MELBOURNE,802500,832000,943000,1200000,1380000,1185000,1375000,1151500,1311500,1310000,1220000,895000,4.3
NORTH WONTHAGGI,230000,268500,274500,259500,294000,369000,389000,419000,557500,665000,625000,625000,10.5
NORTHCOTE,820000,931500,1008500,1190000,1325000,1345000,1305000,1411000,1653000,1650000,1605000,1665000,6.9
NOTTING HILL,566500,660000,780000,872500,993000,957500,880000,930000,1141000,1058000,1106000,1050000,6.9
NUMURKAH,195000,215000,219000,195000,219000,225000,250000,239000,310000,350000,360000,287500,6.3
NUNAWADING,637500,721500,880000,970000,1090000,986000,951000,1038500,1250000,1146000,1189500,1305000,6.4
NYAH WEST,94000,107500,146500,130000,133500,136000,85000,129000,202500,215000,248000,NA,10.2
OAK PARK,576500,626000,660000,822500,853500,878500,840000,911500,1150000,1140000,1065000,880000,6.3
OAKLEIGH,753500,801500,1002000,1050000,1210000,1250000,1101000,1255000,1389000,1422000,1336500,1417000,5.9
OAKLEIGH EAST,672000,820000,990000,983000,1195000,992500,954500,995000,1187500,1155000,1150000,NA,5.5
OAKLEIGH SOUTH,603000,700000,830000,890000,1030000,960000,906500,983500,1129000,1053500,1130000,1078000,6.5
OCEAN GROVE,459000,515000,516500,555000,637000,691000,695000,790000,975500,1143500,982500,878000,7.9
OFFICER,346000,339000,375000,440000,480000,548000,540000,570000,650000,700000,725500,680000,7.7
OFFICER SOUTH,-,-,-,-,283000,569500,714000,770000,703000,850000,865000,815000,NA
OLINDA,496000,520000,553500,620000,705000,760000,746500,757500,1125000,905000,935000,780000,6.5
OMEO,210000,190000,212500,150000,183000,183500,250000,238000,339000,385000,339000,NA,4.9
ORBOST,156000,150000,145000,162500,159000,165000,185500,220000,240000,344000,340000,350000,8.1
ORMOND,997500,1187500,1300000,1550000,1604500,1600000,1475000,1590000,1900000,1847500,1795000,1832500,6.1
OSBORNE,530000,540500,580000,640000,735000,757000,777500,850500,1112000,1127500,1030000,830000,6.9
OUYEN,75000,77500,105500,130000,130000,93000,99000,121000,155500,170000,184500,212500,9.4
PAKENHAM,335000,350000,367000,400000,470000,520000,485000,525000,600000,652000,640000,650000,6.7
PARADISE BEACH,163500,178000,188500,200000,180000,199000,200000,248000,321500,415000,372500,270000,8.6
PARK ORCHARDS,952500,1103000,1225000,1335000,1450000,1480000,1510000,1530000,1920000,1965000,1740000,1885000,6.2
PARKDALE,760000,860000,965000,1100000,1300000,1245000,1157500,1200500,1540500,1592500,1352000,1471000,5.9
PARKVILLE,1200000,1525000,1360500,2130000,2287500,2430000,1480000,1950000,2301500,1910000,2477000,NA,7.5
PASCOE VALE,580000,655000,720000,805000,891000,901000,855000,947500,1050000,1110000,1025000,1040000,5.9
PASCOE VALE SOUTH,650500,701000,745000,840000,975000,955000,950000,1006000,1299500,1157500,1140000,1050000,5.8
PATTERSON GARDENS,615000,672000,737500,813500,880000,890000,961000,960000,1160000,1300000,1265000,NA,7.5
PATTERSON LAKES,647500,734000,785000,807500,1021500,1022500,923000,1082500,1300000,1470500,1361000,1578500,7.7
PAYNESVILLE,283000,305000,305000,309000,336500,351500,346000,397000,465000,565000,515000,460000,6.2
PEARCEDALE,385000,445000,470000,534000,607000,660000,660000,660000,790000,820000,850000,1025000,8.2
PENSHURST,144000,132500,191000,152000,125000,165000,165000,175000,194000,310000,286500,265000,7.1
PETERBOROUGH,287500,307500,296500,340000,315000,450000,419000,550000,625000,701000,690000,NA,9.1
PIONEER BAY,200000,220000,240000,216000,275000,308000,310000,355000,354000,491500,554000,655000,10.7
PLENTY,773000,750000,915500,935000,1145000,1350000,1301000,1202500,1605000,1543000,1760000,NA,8.6
POINT COOK,450000,445000,465000,505000,590000,630000,635000,664000,739000,780000,770500,789500,5.5
POINT LONSDALE,700000,707500,655000,641000,780000,840000,827500,880000,1300000,1505000,1351500,1250000,6.8
POREPUNKAH,347000,285000,323000,330000,447000,464500,530000,615000,757500,1035000,940000,700000,10.5
PORT ALBERT,262500,190000,197500,218500,270000,240000,250000,315000,425000,485000,562500,600000,7.9
PORT FAIRY,400000,425000,447500,473500,500000,651000,620000,670000,950000,1140000,950000,NA,9.0
PORT MELBOURNE,995000,917500,1252500,1380000,1485000,1488000,1400000,1600000,1802500,1646000,1745000,1400000,5.8
PORTARLINGTON,390000,414500,409000,460000,515000,640000,625000,690000,829500,985000,925000,1080000,9.0
PORTLAND,235000,210000,220000,220000,230000,234500,266000,295000,370000,450000,437500,390000,6.4
PORTLAND NORTH,300000,248000,330000,340000,360000,367500,276000,507000,470000,667500,750000,730000,9.6
PORTSEA,1195000,1305000,1800000,1701000,1925000,2180000,1950000,2530000,3765000,3825000,3102500,2115000,10.0
PRAHRAN,990000,1175000,1350000,1430000,1525000,1578000,1520000,1643500,1831000,1840000,1750000,1500000,5.9
PRESTON,632500,690000,791000,882000,996000,980000,940000,1026000,1251000,1160000,1150000,1252500,6.2
PRINCES HILL,1216500,1210000,1280000,1555000,1767500,1650000,2035000,1600000,2015000,1892500,1620000,NA,2.9
PYRAMID HILL,112500,117000,112500,112500,112500,100000,120000,117500,128000,230000,202500,275000,6.1
QUAMBATOOK,134000,79000,66500,105000,135000,93500,90500,110000,150000,157000,125000,40000,-0.7
QUARRY HILL,385000,355000,377500,349000,362000,407500,395000,430000,540500,613500,596000,515000,4.5
QUEENSCLIFF,630000,695000,700000,795000,763000,950000,950000,969000,1372000,1725000,1687500,1275000,10.4
RAINBOW,62000,77000,68000,59500,82500,99000,75000,82000,112000,137000,175000,235000,10.9
RAYMOND ISLAND,297500,280000,285000,330000,289500,360000,300000,416500,450000,535000,540000,505000,6.1
RED CLIFFS,163000,151500,175000,165000,223500,211500,217500,270000,311000,325000,335000,400000,7.5
RED HILL,515000,675000,645000,677500,815000,930000,860000,900000,1550000,1960000,1507500,NA,11.3
REDAN,250000,245000,246500,255000,287500,330000,357000,900000,455000,515000,485000,425500,6.9
RESEARCH,605500,685000,686000,825500,950000,915000,937500,1178000,1201000,1520000,1030000,1032500,5.5
RESERVOIR,510000,541000,615000,707500,812500,790000,754000,795000,945000,940000,870000,886500,5.5
RHYLL,393000,482000,402000,460000,527500,657500,565000,579000,757500,911000,752500,899000,6.7
RICHMOND,900000,961000,1150000,1265000,1302500,1311000,1260000,1365000,1490000,1400000,1377500,1347500,4.3
