Suburb,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Prelim 2025,Change 23-24,Change 14-24,PA 14-24,PA 2014-24,PA 2015-24,PA 2016-24,PA 2017-24,PA 2018-24,PA 2019-24,PA 2020-24,PA 2021-24,PA 2022-24,PA 2023-24
ABBOTSFORD,862500.0,925000.0,1187500.0,1280000.0,1192500.0,1050000.0,1200000.0,1365000.0,1346000.0,1257500.0,1232500.0,^ 1292500,-2.0,43.0,3.6,3.6,3.2,0.5,-0.5,0.6,3.3,0.7,-3.3,-4.3,-2.0
ABERFELDIE,1045000.0,1207500.0,1300000.0,1471000.0,1498500.0,1390000.0,1520000.0,1858000.0,1915000.0,1631000.0,1950000.0,^ 1812500,20.0,87.0,6.4,6.4,5.5,5.2,4.1,4.5,7.0,6.4,1.6,0.9,19.6
AIRPORT WEST,575000.0,635000.0,742000.0,845000.0,845000.0,795000.0,812500.0,960000.0,911000.0,952500.0,940000.0,925000,-1.0,63.0,5.0,5.0,4.5,3.0,1.5,1.8,3.4,3.7,-0.7,1.6,-1.3
ALBANVALE,328000.0,345000.0,439000.0,526500.0,546000.0,512000.0,545000.0,610000.0,600000.0,595000.0,613000.0,610000,3.0,87.0,6.5,6.5,6.6,4.3,2.2,1.9,3.7,3.0,0.2,1.1,3.0
ALBERT PARK,1503000.0,1700000.0,1775000.0,2150000.0,2070000.0,1990000.0,1900000.0,2355000.0,2475000.0,2287500.0,2225000.0,^ 1630000,-3.0,48.0,4.0,4.0,3.0,2.9,0.5,1.2,2.3,4.0,-1.9,-5.2,-2.7
ALBION,432000.0,481000.0,593000.0,730000.0,755000.0,675000.0,727500.0,832500.0,830000.0,765000.0,735000.0,^ 739000,-4.0,70.0,5.5,5.5,4.8,2.7,0.1,-0.4,1.7,0.3,-4.1,-5.9,-3.9
ALPHINGTON,1029000.0,1296500.0,1272500.0,1560000.0,1612500.0,1455000.0,1865000.0,2253000.0,2195000.0,2110000.0,2080000.0,^ 2080000,-1.0,102.0,7.3,7.3,5.4,6.3,4.2,4.3,7.4,2.8,-2.6,-2.7,-1.4
ALTONA,646500.0,718000.0,832500.0,950000.0,932500.0,890000.0,914000.0,1162500.0,1180000.0,1142500.0,1170000.0,1100000,2.0,81.0,6.1,6.1,5.6,4.3,3.0,3.9,5.6,6.4,0.2,-0.4,2.4
ALTONA MEADOWS,413000.0,440000.0,495000.0,626500.0,631500.0,615000.0,640000.0,720000.0,740000.0,690000.0,717000.0,^ 662500,4.0,74.0,5.7,5.7,5.6,4.7,1.9,2.1,3.1,2.9,-0.1,-1.6,3.9
ALTONA NORTH,555000.0,642500.0,725000.0,825000.0,835000.0,790000.0,832500.0,900500.0,940000.0,881000.0,917000.0,950000,4.0,65.0,5.1,5.1,4.0,3.0,1.5,1.6,3.0,2.4,0.6,-1.2,4.1
ARDEER,360000.0,381500.0,517500.0,595000.0,629000.0,572000.0,615000.0,719000.0,682000.0,628500.0,680000.0,^ 625000,8.0,89.0,6.6,6.6,6.6,3.5,1.9,1.3,3.5,2.5,-1.8,-0.1,8.2
ASCOT VALE,810000.0,885000.0,1010000.0,1185000.0,1197500.0,1100000.0,1210000.0,1245000.0,1325000.0,1300500.0,1300000.0,1164000,0.0,60.0,4.8,4.8,4.4,3.2,1.3,1.4,3.4,1.8,1.5,-0.9,-0.0
ASHBURTON,1200000.0,1435000.0,1567500.0,1812500.0,1712500.0,1641500.0,1600000.0,2000000.0,1986000.0,2015000.0,1907000.0,^ 1647500,-5.0,59.0,4.7,4.7,3.2,2.5,0.7,1.8,3.0,4.5,-1.6,-2.0,-5.4
ASHWOOD,888000.0,1140000.0,1230000.0,1359000.0,1210000.0,1100000.0,1250500.0,1450000.0,1567500.0,1455000.0,1442500.0,^ 1825000,-1.0,62.0,5.0,5.0,2.6,2.0,0.9,3.0,5.6,3.6,-0.2,-4.1,-0.9
ASPENDALE,690000.0,795500.0,891000.0,1125000.0,980000.0,994000.0,1120000.0,1321500.0,1440000.0,1360000.0,1315000.0,^ 1252000,-3.0,91.0,6.7,6.7,5.7,5.0,2.3,5.0,5.8,4.1,-0.2,-4.4,-3.3
ASPENDALE GARDENS,632000.0,715000.0,775000.0,882500.0,935000.0,844000.0,970000.0,1130500.0,1150000.0,1117000.0,1210500.0,^ 1237500,8.0,92.0,6.7,6.7,6.0,5.7,4.6,4.4,7.5,5.7,2.3,2.6,8.4
AVONDALE HEIGHTS,562500.0,650000.0,750000.0,845500.0,830000.0,810000.0,842500.0,965500.0,990000.0,938500.0,980500.0,912500,4.0,74.0,5.7,5.7,4.7,3.4,2.1,2.8,3.9,3.9,0.5,-0.5,4.5
BALACLAVA,942000.0,1100000.0,1242500.0,1385500.0,1190000.0,1405000.0,1418000.0,1550000.0,1527000.0,1500000.0,1377500.0,^ 1008000,-8.0,46.0,3.9,3.9,2.5,1.3,-0.1,2.5,-0.4,-0.7,-3.9,-5.0,-8.2
BALWYN,1780000.0,2210000.0,2180000.0,2340000.0,2420000.0,2377500.0,2260000.0,2750000.0,2862000.0,2965000.0,2868000.0,2950000,-3.0,61.0,4.9,4.9,2.9,3.5,2.9,2.9,3.8,6.1,1.4,0.1,-3.3
BALWYN NORTH,1452000.0,1850000.0,1800000.0,1950000.0,1810000.0,1720000.0,1900000.0,2255500.0,2229000.0,2382500.0,2310000.0,^ 1808000,-3.0,59.0,4.8,4.8,2.5,3.2,2.4,4.1,6.1,5.0,0.8,1.8,-3.0
BAYSWATER,525000.0,632500.0,693000.0,800500.0,753000.0,720000.0,745500.0,870000.0,902000.0,870000.0,862000.0,812500,-1.0,64.0,5.1,5.1,3.5,2.8,1.1,2.3,3.7,3.7,-0.3,-2.2,-0.9
BAYSWATER NORTH,490000.0,580000.0,628000.0,737500.0,713000.0,695000.0,734500.0,855500.0,869500.0,843000.0,899000.0,^ 830000,7.0,83.0,6.3,6.3,5.0,4.6,2.9,3.9,5.3,5.2,1.7,1.7,6.6
BEAUMARIS,1134000.0,1345000.0,1455000.0,1611000.0,1674000.0,1587500.0,1725000.0,2100000.0,2061000.0,2055000.0,2061000.0,2272500,0.0,82.0,6.2,6.2,4.9,4.4,3.6,3.5,5.4,4.5,-0.6,0.0,0.3
BELGRAVE,426000.0,482500.0,545000.0,620000.0,676000.0,636000.0,680000.0,784000.0,850000.0,815000.0,800000.0,^ 905500,-2.0,88.0,6.5,6.5,5.8,4.9,3.7,2.8,4.7,4.1,0.7,-3.0,-1.8
BELGRAVE HEIGHTS,480000.0,590500.0,624000.0,687500.0,701500.0,685000.0,737500.0,902500.0,1055500.0,,1025000.0,,21.0,114.0,7.9,7.9,6.3,6.4,5.9,6.5,8.4,8.6,4.3,-1.5,
BENTLEIGH,1050000.0,1245000.0,1380000.0,1470000.0,1394000.0,1376000.0,1510000.0,1747000.0,1726500.0,1691000.0,1641500.0,1522500,-3.0,56.0,4.6,4.6,3.1,2.2,1.6,2.8,3.6,2.1,-2.1,-2.5,-2.9
BENTLEIGH EAST,850000.0,1000500.0,1115000.0,,1205000.0,1200000.0,1255000.0,1480000.0,1490000.0,1430000.0,1497000.0,,5.0,76.0,5.8,5.8,4.6,3.8,,3.7,4.5,4.5,0.4,0.2,4.7
BLACK ROCK,1400000.0,1545000.0,1745000.0,,2029000.0,1793000.0,1920000.0,2600000.0,2565000.0,2300000.0,2400000.0,,4.0,71.0,5.5,5.5,5.0,4.1,,2.8,6.0,5.7,-2.6,-3.3,4.3
BLACKBURN,936000.0,1200500.0,1241000.0,,1370500.0,1305000.0,1405000.0,1639500.0,1549500.0,1569000.0,1517000.0,,-3.0,62.0,5.0,4.9,2.6,2.5,,1.7,3.1,1.9,-2.6,-1.1,-3.3
BLACKBURN NORTH,790000.0,921500.0,1040000.0,,1038000.0,1017500.0,1090000.0,1300000.0,1230000.0,1284500.0,1273000.0,,-1.0,61.0,4.9,4.9,3.7,2.6,,3.5,4.6,4.0,-0.7,1.7,-0.9
BLACKBURN SOUTH,780000.0,920500.0,1050000.0,,1063500.0,1034000.0,1100500.0,1338500.0,1288000.0,1355000.0,1350000.0,,0.0,73.0,5.6,5.6,4.3,3.2,,4.1,5.5,5.2,0.3,2.4,-0.4
BONBEACH,635000.0,700000.0,778000.0,,910000.0,855000.0,930000.0,1115000.0,1180000.0,1120000.0,1025000.0,,-8.0,61.0,4.9,4.9,4.3,3.5,,2.0,3.7,2.5,-2.8,-6.8,-8.5
BORONIA,500500.0,592500.0,648500.0,,742500.0,680000.0,715000.0,845000.0,829000.0,855000.0,849500.0,,-1.0,70.0,5.4,5.4,4.1,3.4,,2.3,4.6,4.4,0.2,1.2,-0.6
BOX HILL,1067000.0,1350000.0,1360500.0,,1700500.0,1545000.0,1512500.0,1630500.0,1726000.0,1680000.0,1705000.0,,1.0,60.0,4.8,4.8,2.6,2.9,,0.0,2.0,3.0,1.5,-0.6,1.5
BOX HILL NORTH,857500.0,1060000.0,1146000.0,,1188000.0,1200000.0,1191500.0,1320500.0,1320000.0,1333000.0,1340000.0,,1.0,56.0,4.6,4.6,2.6,2.0,,2.0,2.2,3.0,0.5,0.8,0.5
BOX HILL SOUTH,910000.0,1153000.0,1255000.0,,1285500.0,1177500.0,1252500.0,1560000.0,1440000.0,1500000.0,1480000.0,,-1.0,63.0,5.0,5.0,2.8,2.1,,2.4,4.7,4.3,-1.7,1.4,-1.3
BRAYBROOK,479500.0,550000.0,629000.0,,728500.0,646500.0,669500.0,739500.0,794500.0,720000.0,725500.0,,1.0,51.0,4.2,4.2,3.1,1.8,,-0.1,2.3,2.0,-0.6,-4.4,0.8
BRIAR HILL,633000.0,680000.0,721500.0,,880000.0,823500.0,863000.0,1015000.0,984500.0,1001000.0,950000.0,,-5.0,50.0,4.1,4.1,3.8,3.5,,1.3,2.9,2.4,-2.2,-1.8,-5.1
BRIGHTON,1940000.0,2307500.0,2740000.0,,2888000.0,2675000.0,3148500.0,3510000.0,3467500.0,3280000.0,3405500.0,,4.0,76.0,5.8,5.8,4.4,2.8,,2.8,4.9,2.0,-1.0,-0.9,3.8
BRIGHTON EAST,1300500.0,1600000.0,1750000.0,,1880000.0,1700000.0,1950000.0,2265000.0,2312500.0,2425000.0,2200000.0,,-9.0,69.0,5.4,5.4,3.6,2.9,,2.7,5.3,3.1,-1.0,-2.5,-9.3
BROOKLYN,540000.0,602000.0,700500.0,834000.0,695000.0,672500.0,712500.0,850000.0,810000.0,,810000.0,^ 805000,9.0,50.0,4.1,4.1,3.4,1.8,-0.4,2.6,3.8,3.3,-1.6,0.0,
BRUNSWICK,812500.0,861000.0,947000.0,1200000.0,1100000.0,1037500.0,1100000.0,1350000.0,1330000.0,1300000.0,1300000.0,1250000,0.0,60.0,4.8,4.8,4.7,4.0,1.2,2.8,4.6,4.3,-1.3,-1.1,0.0
BRUNSWICK EAST,820000.0,888000.0,998000.0,1150000.0,1170000.0,1011500.0,1286500.0,1440000.0,1350000.0,1403000.0,1353000.0,^ 1740000,-4.0,65.0,5.1,5.1,4.8,3.9,2.3,2.5,6.0,1.3,-2.1,0.1,-3.6
BRUNSWICK WEST,790000.0,863000.0,1002500.0,1155000.0,1160000.0,1061000.0,1180000.0,1324000.0,1285500.0,1277500.0,1327500.0,1080000,4.0,68.0,5.3,5.3,4.9,3.6,2.0,2.3,4.6,3.0,0.1,1.6,3.9
BULLEEN,861000.0,1095000.0,1170000.0,1300000.0,1230000.0,1105000.0,1177000.0,1355000.0,1386000.0,1400000.0,1300000.0,^ 1217500,-7.0,51.0,4.2,4.2,1.9,1.3,0.0,0.9,3.3,2.5,-1.4,-3.2,-7.1
BUNDOORA,553500.0,600500.0,652000.0,753000.0,730000.0,732500.0,745000.0,865000.0,853000.0,855000.0,865000.0,862000,1.0,56.0,4.6,4.6,4.1,3.6,2.0,2.9,3.4,3.8,0.0,0.7,1.2
BURNLEY,1100000.0,999000.0,1215000.0,1405000.0,1277500.0,1188500.0,,1595000.0,1565000.0,1582500.0,,^ 1100000,-10.0,30.0,2.7,,,,,,,,,,
BURWOOD,921000.0,1190000.0,1219000.0,1357000.0,1320000.0,1170000.0,1277500.0,1430000.0,1381000.0,1495000.0,1370000.0,^ 1445000,-8.0,49.0,4.1,4.1,1.6,1.5,0.1,0.6,3.2,1.8,-1.4,-0.4,-8.4
BURWOOD EAST,782000.0,982000.0,1021000.0,1126500.0,1005000.0,1106000.0,1168500.0,1250500.0,1259000.0,1281000.0,1285500.0,1191500,0.0,64.0,5.1,5.1,3.0,2.9,1.9,4.2,3.1,2.4,0.9,1.0,0.4
CAIRNLEA,545000.0,540000.0,608500.0,710000.0,734000.0,752500.0,807500.0,850000.0,941500.0,940000.0,932500.0,961500,-1.0,71.0,5.5,5.5,6.3,5.5,4.0,4.1,4.4,3.7,3.1,-0.5,-0.8
CAMBERWELL,1655000.0,1912500.0,2090000.0,2300000.0,2155000.0,2070000.0,2072500.0,2569000.0,2650000.0,2538000.0,2600000.0,^ 2410000,2.0,57.0,4.6,4.6,3.5,2.8,1.8,3.2,4.7,5.8,0.4,-0.9,2.4
CANTERBURY,2100000.0,2523000.0,2620000.0,3140000.0,2533000.0,2902500.0,2705000.0,3389000.0,3460000.0,3380000.0,3212500.0,^ 1980000,-5.0,53.0,4.3,4.3,2.7,2.6,0.3,4.0,2.1,4.4,-1.8,-3.6,-5.0
CARLTON,1020000.0,830000.0,1050000.0,1470000.0,1625000.0,1308000.0,1452500.0,1492500.0,1512500.0,1500000.0,1390000.0,^ 1360000,-7.0,36.0,3.1,3.1,5.9,3.6,-0.8,-2.6,1.2,-1.1,-2.3,-4.1,-7.3
CARLTON NORTH,1095000.0,1177500.0,1360000.0,1628000.0,1445000.0,1555000.0,1500000.0,1712000.0,1660000.0,1490000.0,1515000.0,1502500,2.0,38.0,3.3,3.3,2.8,1.4,-1.0,0.8,-0.5,0.2,-4.0,-4.5,1.7
CARNEGIE,1007500.0,1300000.0,1348500.0,1510000.0,1445000.0,1313500.0,1420000.0,1776000.0,1687500.0,1675000.0,1715000.0,^ 1962500,2.0,70.0,5.5,5.5,3.1,3.1,1.8,2.9,5.5,4.8,-1.2,0.8,2.4
CARRUM,536000.0,611000.0,750000.0,835500.0,860000.0,770000.0,830500.0,967000.0,965000.0,1030000.0,1040000.0,^ 860500,1.0,94.0,6.9,6.9,6.1,4.2,3.2,3.2,6.2,5.8,2.5,3.8,1.0
CARRUM DOWNS,346000.0,370000.0,430000.0,525000.0,575000.0,537000.0,575000.0,665000.0,705000.0,697500.0,716500.0,720000,3.0,107.0,7.5,7.6,7.6,6.6,4.5,3.7,5.9,5.7,2.5,0.8,2.7
CAULFIELD,1322000.0,1650000.0,1715000.0,1885000.0,1701000.0,1762500.0,1818500.0,2060000.0,2079000.0,1786000.0,2335000.0,^ 2245000,31.0,77.0,5.9,5.9,3.9,3.9,3.1,5.4,5.8,6.4,4.3,6.0,30.7
CAULFIELD EAST,1168000.0,1167500.0,1300000.0,1500000.0,1322500.0,1375000.0,1442500.0,,,,1705000.0,,18.0,46.0,3.9,3.9,4.3,3.4,1.8,4.3,4.4,4.3,,,
CAULFIELD NORTH,1480000.0,1875000.0,2181000.0,2285000.0,1960000.0,2112000.0,2360000.0,2697500.0,2650000.0,2620000.0,2450000.0,^ 2100000,-6.0,66.0,5.2,5.2,3.0,1.5,1.0,3.8,3.0,0.9,-3.2,-3.8,-6.5
CAULFIELD SOUTH,1200000.0,1375000.0,1517500.0,1690000.0,1600000.0,1494500.0,1750000.0,1950000.0,1845000.0,1970000.0,1800000.0,^ 1407500,-9.0,50.0,4.1,4.1,3.0,2.2,0.9,2.0,3.8,0.7,-2.6,-1.2,-8.6
CHELSEA,580000.0,730000.0,890000.0,914000.0,905000.0,856500.0,980000.0,1167500.0,1140000.0,1180000.0,1210000.0,^ 980000,3.0,109.0,7.6,7.6,5.8,3.9,4.1,5.0,7.2,5.4,1.2,3.0,2.5
CHELSEA HEIGHTS,513000.0,598000.0,641000.0,750000.0,778000.0,750000.0,805000.0,977500.0,935000.0,906500.0,932500.0,^ 955000,3.0,82.0,6.2,6.2,5.1,4.8,3.2,3.1,4.5,3.7,-1.6,-0.1,2.9
CHELTENHAM,774000.0,867000.0,942500.0,1170000.0,1105000.0,1035000.0,1130000.0,1306000.0,1350000.0,1335000.0,1332500.0,1265000,0.0,72.0,5.6,5.6,4.9,4.4,1.9,3.2,5.2,4.2,0.7,-0.7,-0.2
CHIRNSIDE PARK,490500.0,542500.0,627000.0,735000.0,700000.0,680500.0,750000.0,900000.0,920000.0,900000.0,890500.0,854500,-1.0,82.0,6.1,6.1,5.7,4.5,2.8,4.1,5.5,4.4,-0.4,-1.6,-1.1
CLARINDA,606500.0,682500.0,751000.0,866000.0,802500.0,820000.0,851500.0,1024500.0,1060000.0,950000.0,985500.0,^ 1101000,4.0,62.0,5.0,5.0,4.2,3.5,1.9,3.5,3.7,3.7,-1.3,-3.6,3.7
CLAYTON,750000.0,976000.0,1010500.0,1250000.0,1255000.0,1158000.0,1055000.0,1200000.0,1105000.0,1170000.0,1165000.0,^ 1007500,0.0,55.0,4.5,4.5,2.0,1.8,-1.0,-1.2,0.1,2.5,-1.0,2.7,-0.4
CLAYTON SOUTH,580000.0,687500.0,755000.0,850500.0,850000.0,832000.0,830000.0,982500.0,975000.0,950000.0,961500.0,^ 985000,1.0,66.0,5.2,5.2,3.8,3.1,1.8,2.1,2.9,3.7,-0.7,-0.7,1.2
CLIFTON HILL,965000.0,1085000.0,1220000.0,1390000.0,1364500.0,1348000.0,1375000.0,1750000.0,1710000.0,1785000.0,1505000.0,^ 1782500,-16.0,56.0,4.5,4.5,3.7,2.7,1.1,1.6,2.2,2.3,-4.9,-6.2,-15.7
COBURG,710000.0,778000.0,876000.0,1000000.0,966500.0,935500.0,1085000.0,1257500.0,1213000.0,1183000.0,1150000.0,1340000,-3.0,62.0,4.9,4.9,4.4,3.5,2.0,2.9,4.2,1.5,-2.9,-2.6,-2.8
COBURG NORTH,600000.0,665000.0,780000.0,822000.0,814000.0,805000.0,899000.0,1008500.0,1020000.0,985000.0,1071000.0,^ 872500,9.0,79.0,6.0,6.0,5.4,4.0,3.9,4.7,5.9,4.5,2.0,2.5,8.7
COLLINGWOOD,775000.0,914000.0,920000.0,1205000.0,1110000.0,1060000.0,1155000.0,1251500.0,1289000.0,1225000.0,1184000.0,^ 920000,-3.0,53.0,4.3,4.3,2.9,3.2,-0.3,1.1,2.2,0.6,-1.8,-4.2,-3.3
CREMORNE,886500.0,1030000.0,1072000.0,1230000.0,1420000.0,1290000.0,1410000.0,1500000.0,1315000.0,1335000.0,1237500.0,^ 1280000,-7.0,40.0,3.4,3.4,2.1,1.8,0.1,-2.3,-0.8,-3.2,-6.2,-3.0,-7.3
CROYDON,525000.0,605000.0,695000.0,809000.0,792500.0,735000.0,785000.0,920000.0,900000.0,920000.0,923000.0,900000,0.0,76.0,5.8,5.8,4.8,3.6,1.9,2.6,4.7,4.1,0.1,1.3,0.3
CROYDON HILLS,606000.0,697000.0,730000.0,875000.0,877500.0,835000.0,920000.0,1100000.0,1107000.0,1182500.0,1190000.0,^ 1125500,1.0,96.0,7.0,7.0,6.1,6.3,4.5,5.2,7.3,6.6,2.7,3.7,0.6
CROYDON NORTH,600000.0,702500.0,790500.0,872000.0,840000.0,827500.0,860500.0,1050000.0,1069000.0,1075000.0,1095000.0,^ 984000,2.0,83.0,6.2,6.2,5.1,4.2,3.3,4.5,5.8,6.2,1.4,1.2,1.9
CROYDON SOUTH,530000.0,600000.0,655000.0,800000.0,757500.0,715500.0,740000.0,890000.0,864000.0,890000.0,915000.0,^ 915000,3.0,73.0,5.6,5.6,4.8,4.3,1.9,3.2,5.0,5.5,0.9,2.9,2.8
DANDENONG,439000.0,485000.0,555500.0,620000.0,640000.0,601000.0,630000.0,700000.0,740000.0,693000.0,720500.0,740000,4.0,64.0,5.1,5.1,4.5,3.3,2.2,2.0,3.7,3.4,1.0,-1.3,4.0
DANDENONG NORTH,415500.0,481000.0,551000.0,633500.0,640000.0,606500.0,640000.0,729000.0,740000.0,725000.0,756000.0,710000,4.0,82.0,6.2,6.2,5.2,4.0,2.6,2.8,4.5,4.3,1.2,1.1,4.3
DEEPDENE,2215000.0,2750000.0,2600000.0,2862500.0,2692500.0,2858000.0,3150000.0,3262500.0,3001000.0,3030500.0,3633000.0,,20.0,64.0,5.1,5.1,3.1,4.3,3.5,5.1,4.9,3.6,3.7,10.0,19.9
DEER PARK,365000.0,390000.0,441000.0,552500.0,580000.0,550000.0,580000.0,630000.0,635000.0,640000.0,657500.0,670000,3.0,80.0,6.1,6.1,6.0,5.1,2.5,2.1,3.6,3.2,1.4,1.8,2.7
DELAHEY,370000.0,400000.0,458000.0,545000.0,575000.0,530000.0,575000.0,645000.0,650000.0,639000.0,642500.0,^ 625000,1.0,74.0,5.7,5.7,5.4,4.3,2.4,1.9,3.9,2.8,-0.1,-0.6,0.5
DERRIMUT,435000.0,466000.0,530000.0,635000.0,615000.0,649000.0,658000.0,715000.0,770000.0,740000.0,750000.0,^ 725000,1.0,72.0,5.6,5.6,5.4,4.4,2.4,3.4,2.9,3.3,1.6,-1.3,1.4
DINGLEY VILLAGE,607000.0,690000.0,775500.0,887000.0,840500.0,810000.0,934000.0,1050000.0,1112000.0,1090000.0,1124500.0,1007500,3.0,85.0,6.4,6.4,5.6,4.8,3.4,5.0,6.8,4.7,2.3,0.6,3.2
