Suburb,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Prelim 2025,Change 23-24,Change 14-24,PA 14-24
ABBOTSFORD,862500,925000,1187500,1280000,1192500,1050000,1200000,1365000,1346000,1257500,1232500,^ 1292500,-2.0,43.0,3.6
ABERFELDIE,1045000,1207500,1300000,1471000,1498500,1390000,1520000,1858000,1915000,1631000,1950000,^ 1812500,20.0,87.0,6.4
AIRPORT WEST,575000,635000,742000,845000,845000,795000,812500,960000,911000,952500,940000,925000,-1.0,63.0,5.0
ALBANVALE,328000,345000,439000,526500,546000,512000,545000,610000,600000,595000,613000,610000,3.0,87.0,6.5
ALBERT PARK,1503000,1700000,1775000,2150000,2070000,1990000,1900000,2355000,2475000,2287500,2225000,^ 1630000,-3.0,48.0,4.0
ALBION,432000,481000,593000,730000,755000,675000,727500,832500,830000,765000,735000,^ 739000,-4.0,70.0,5.5
ALPHINGTON,1029000,1296500,1272500,1560000,1612500,1455000,1865000,2253000,2195000,2110000,2080000,^ 2080000,-1.0,102.0,7.3
ALTONA,646500,718000,832500,950000,932500,890000,914000,1162500,1180000,1142500,1170000,1100000,2.0,81.0,6.1
ALTONA MEADOWS,413000,440000,495000,626500,631500,615000,640000,720000,740000,690000,717000,^ 662500,4.0,74.0,5.7
ALTONA NORTH,555000,642500,725000,825000,835000,790000,832500,900500,940000,881000,917000,950000,4.0,65.0,5.1
ARDEER,360000,381500,517500,595000,629000,572000,615000,719000,682000,628500,680000,^ 625000,8.0,89.0,6.6
ASCOT VALE,810000,885000,1010000,1185000,1197500,1100000,1210000,1245000,1325000,1300500,1300000,1164000,0.0,60.0,4.8
ASHBURTON,1200000,1435000,1567500,1812500,1712500,1641500,1600000,2000000,1986000,2015000,1907000,^ 1647500,-5.0,59.0,4.7
ASHWOOD,888000,1140000,1230000,1359000,1210000,1100000,1250500,1450000,1567500,1455000,1442500,^ 1825000,-1.0,62.0,5.0
ASPENDALE,690000,795500,891000,1125000,980000,994000,1120000,1321500,1440000,1360000,1315000,^ 1252000,-3.0,91.0,6.7
ASPENDALE GARDENS,632000,715000,775000,882500,935000,844000,970000,1130500,1150000,1117000,1210500,^ 1237500,8.0,92.0,6.7
AVONDALE HEIGHTS,562500,650000,750000,845500,830000,810000,842500,965500,990000,938500,980500,912500,4.0,74.0,5.7
BALACLAVA,942000,1100000,1242500,1385500,1190000,1405000,1418000,1550000,1527000,1500000,1377500,^ 1008000,-8.0,46.0,3.9
BALWYN,1780000,2210000,2180000,2340000,2420000,2377500,2260000,2750000,2862000,2965000,2868000,2950000,-3.0,61.0,4.9
BALWYN NORTH,1452000,1850000,1800000,1950000,1810000,1720000,1900000,2255500,2229000,2382500,2310000,^ 1808000,-3.0,59.0,4.8
BAYSWATER,525000,632500,693000,800500,753000,720000,745500,870000,902000,870000,862000,812500,-1.0,64.0,5.1
BAYSWATER NORTH,490000,580000,628000,737500,713000,695000,734500,855500,869500,843000,899000,^ 830000,7.0,83.0,6.3
BEAUMARIS,1134000,1345000,1455000,1611000,1674000,1587500,1725000,2100000,2061000,2055000,2061000,2272500,0.0,82.0,6.2
BELGRAVE,426000,482500,545000,620000,676000,636000,680000,784000,850000,815000,800000,^ 905500,-2.0,88.0,6.5
BELGRAVE HEIGHTS,480000,590500,624000,687500,701500,685000,737500,902500,1055500,^ 850000,1025000,,21.0,114.0,7.9
BENTLEIGH,1050000,1245000,1380000,1470000,1394000,1376000,1510000,1747000,1726500,1691000,1641500,1522500,-3.0,56.0,4.6
BENTLEIGH EAST,850000,1000500,1115000,,1205000,1200000,1255000,1480000,1490000,1430000,1497000,,5.0,76.0,5.8
BLACK ROCK,1400000,1545000,1745000,,2029000,1793000,1920000,2600000,2565000,2300000,2400000,,4.0,71.0,5.5
BLACKBURN,936000,1200500,1241000,,1370500,1305000,1405000,1639500,1549500,1569000,1517000,,-3.0,62.0,5.0
BLACKBURN NORTH,790000,921500,1040000,,1038000,1017500,1090000,1300000,1230000,1284500,1273000,,-1.0,61.0,4.9
BLACKBURN SOUTH,780000,920500,1050000,,1063500,1034000,1100500,1338500,1288000,1355000,1350000,,0.0,73.0,5.6
BONBEACH,635000,700000,778000,,910000,855000,930000,1115000,1180000,1120000,1025000,,-8.0,61.0,4.9
BORONIA,500500,592500,648500,,742500,680000,715000,845000,829000,855000,849500,,-1.0,70.0,5.4
BOX HILL,1067000,1350000,1360500,,1700500,1545000,1512500,1630500,1726000,1680000,1705000,,1.0,60.0,4.8
BOX HILL NORTH,857500,1060000,1146000,,1188000,1200000,1191500,1320500,1320000,1333000,1340000,,1.0,56.0,4.6
BOX HILL SOUTH,910000,1153000,1255000,,1285500,1177500,1252500,1560000,1440000,1500000,1480000,,-1.0,63.0,5.0
BRAYBROOK,479500,550000,629000,,728500,646500,669500,739500,794500,720000,725500,,1.0,51.0,4.2
BRIAR HILL,633000,680000,721500,,880000,823500,863000,1015000,984500,1001000,950000,,-5.0,50.0,4.1
BRIGHTON,1940000,2307500,2740000,,2888000,2675000,3148500,3510000,3467500,3280000,3405500,,4.0,76.0,5.8
BRIGHTON EAST,1300500,1600000,1750000,,1880000,1700000,1950000,2265000,2312500,2425000,2200000,,-9.0,69.0,5.4
BROOKLYN,540000,602000,700500,834000,695000,672500,712500,850000,810000,^ 740000,810000,^ 805000,9.0,50.0,4.1
BRUNSWICK,812500,861000,947000,1200000,1100000,1037500,1100000,1350000,1330000,1300000,1300000,1250000,0.0,60.0,4.8
BRUNSWICK EAST,820000,888000,998000,1150000,1170000,1011500,1286500,1440000,1350000,1403000,1353000,^ 1740000,-4.0,65.0,5.1
BRUNSWICK WEST,790000,863000,1002500,1155000,1160000,1061000,1180000,1324000,1285500,1277500,1327500,1080000,4.0,68.0,5.3
BULLEEN,861000,1095000,1170000,1300000,1230000,1105000,1177000,1355000,1386000,1400000,1300000,^ 1217500,-7.0,51.0,4.2
BUNDOORA,553500,600500,652000,753000,730000,732500,745000,865000,853000,855000,865000,862000,1.0,56.0,4.6
BURNLEY,1100000,999000,1215000,1405000,1277500,1188500,^ 1497500,1595000,1565000,1582500,^ 1429000,^ 1100000,-10.0,30.0,2.7
BURWOOD,921000,1190000,1219000,1357000,1320000,1170000,1277500,1430000,1381000,1495000,1370000,^ 1445000,-8.0,49.0,4.1
BURWOOD EAST,782000,982000,1021000,1126500,1005000,1106000,1168500,1250500,1259000,1281000,1285500,1191500,0.0,64.0,5.1
CAIRNLEA,545000,540000,608500,710000,734000,752500,807500,850000,941500,940000,932500,961500,-1.0,71.0,5.5
CAMBERWELL,1655000,1912500,2090000,2300000,2155000,2070000,2072500,2569000,2650000,2538000,2600000,^ 2410000,2.0,57.0,4.6
CANTERBURY,2100000,2523000,2620000,3140000,2533000,2902500,2705000,3389000,3460000,3380000,3212500,^ 1980000,-5.0,53.0,4.3
CARLTON,1020000,830000,1050000,1470000,1625000,1308000,1452500,1492500,1512500,1500000,1390000,^ 1360000,-7.0,36.0,3.1
CARLTON NORTH,1095000,1177500,1360000,1628000,1445000,1555000,1500000,1712000,1660000,1490000,1515000,1502500,2.0,38.0,3.3
CARNEGIE,1007500,1300000,1348500,1510000,1445000,1313500,1420000,1776000,1687500,1675000,1715000,^ 1962500,2.0,70.0,5.5
CARRUM,536000,611000,750000,835500,860000,770000,830500,967000,965000,1030000,1040000,^ 860500,1.0,94.0,6.9
CARRUM DOWNS,346000,370000,430000,525000,575000,537000,575000,665000,705000,697500,716500,720000,3.0,107.0,7.5
CAULFIELD,1322000,1650000,1715000,1885000,1701000,1762500,1818500,2060000,2079000,1786000,2335000,^ 2245000,31.0,77.0,5.9
CAULFIELD EAST,1168000,1167500,1300000,1500000,1322500,1375000,1442500,"^
1690000",^ 1742000,^ 1450000,1705000,,18.0,46.0,3.9
CAULFIELD NORTH,1480000,1875000,2181000,2285000,1960000,2112000,2360000,2697500,2650000,2620000,2450000,^ 2100000,-6.0,66.0,5.2
CAULFIELD SOUTH,1200000,1375000,1517500,1690000,1600000,1494500,1750000,1950000,1845000,1970000,1800000,^ 1407500,-9.0,50.0,4.1
CHELSEA,580000,730000,890000,914000,905000,856500,980000,1167500,1140000,1180000,1210000,^ 980000,3.0,109.0,7.6
CHELSEA HEIGHTS,513000,598000,641000,750000,778000,750000,805000,977500,935000,906500,932500,^ 955000,3.0,82.0,6.2
CHELTENHAM,774000,867000,942500,1170000,1105000,1035000,1130000,1306000,1350000,1335000,1332500,1265000,0.0,72.0,5.6
CHIRNSIDE PARK,490500,542500,627000,735000,700000,680500,750000,900000,920000,900000,890500,854500,-1.0,82.0,6.1
CLARINDA,606500,682500,751000,866000,802500,820000,851500,1024500,1060000,950000,985500,^ 1101000,4.0,62.0,5.0
CLAYTON,750000,976000,1010500,1250000,1255000,1158000,1055000,1200000,1105000,1170000,1165000,^ 1007500,0.0,55.0,4.5
CLAYTON SOUTH,580000,687500,755000,850500,850000,832000,830000,982500,975000,950000,961500,^ 985000,1.0,66.0,5.2
CLIFTON HILL,965000,1085000,1220000,1390000,1364500,1348000,1375000,1750000,1710000,1785000,1505000,^ 1782500,-16.0,56.0,4.5
COBURG,710000,778000,876000,1000000,966500,935500,1085000,1257500,1213000,1183000,1150000,1340000,-3.0,62.0,4.9
COBURG NORTH,600000,665000,780000,822000,814000,805000,899000,1008500,1020000,985000,1071000,^ 872500,9.0,79.0,6.0
COLLINGWOOD,775000,914000,920000,1205000,1110000,1060000,1155000,1251500,1289000,1225000,1184000,^ 920000,-3.0,53.0,4.3
CREMORNE,886500,1030000,1072000,1230000,1420000,1290000,1410000,1500000,1315000,1335000,1237500,^ 1280000,-7.0,40.0,3.4
CROYDON,525000,605000,695000,809000,792500,735000,785000,920000,900000,920000,923000,900000,0.0,76.0,5.8
CROYDON HILLS,606000,697000,730000,875000,877500,835000,920000,1100000,1107000,1182500,1190000,^ 1125500,1.0,96.0,7.0
CROYDON NORTH,600000,702500,790500,872000,840000,827500,860500,1050000,1069000,1075000,1095000,^ 984000,2.0,83.0,6.2
CROYDON SOUTH,530000,600000,655000,800000,757500,715500,740000,890000,864000,890000,915000,^ 915000,3.0,73.0,5.6
DANDENONG,439000,485000,555500,620000,640000,601000,630000,700000,740000,693000,720500,740000,4.0,64.0,5.1
DANDENONG NORTH,415500,481000,551000,633500,640000,606500,640000,729000,740000,725000,756000,710000,4.0,82.0,6.2
DEEPDENE,2215000,2750000,2600000,2862500,2692500,2858000,3150000,3262500,3001000,3030500,3633000,,20.0,64.0,5.1
DEER PARK,365000,390000,441000,552500,580000,550000,580000,630000,635000,640000,657500,670000,3.0,80.0,6.1
DELAHEY,370000,400000,458000,545000,575000,530000,575000,645000,650000,639000,642500,^ 625000,1.0,74.0,5.7
DERRIMUT,435000,466000,530000,635000,615000,649000,658000,715000,770000,740000,750000,^ 725000,1.0,72.0,5.6
DINGLEY VILLAGE,607000,690000,775500,887000,840500,810000,934000,1050000,1112000,1090000,1124500,1007500,3.0,85.0,6.4
DONCASTER,999000,1176000,1297500,1368000,1320000,1270000,1280000,1500000,1500000,1547500,1480500,1392500,-4.0,48.0,4.0
DONCASTER EAST,894500,1113500,1230000,1360000,1222000,1198000,1255000,1493500,1533000,1630000,1603500,1430000,-2.0,79.0,6.0
DONVALE,840000,964000,970000,1200000,1182500,1140000,1195000,1337500,1440000,1438000,1514000,^ 1210000,5.0,80.0,6.1
EAGLEMONT,1522000,1740000,1901000,1963000,1955000,1863000,2029000,2390000,2425000,2551000,2200000,^ 3210000,-14.0,45.0,3.8
EAST MELBOURNE,1850000,2750000,3655000,3585000,2675000,3090000,2862500,3300000,3127500,3171500,3650000,^ 1696000,15.0,97.0,7.0
EDITHVALE,670000,766000,930000,1058500,1047500,950000,1029500,1240000,1330000,1270500,1310000,^ 1225000,3.0,96.0,6.9
ELSTERNWICK,1315000,1621000,1723500,2087500,1970000,1825000,2081000,2175000,2265000,2240000,1953000,^ 1867500,-13.0,49.0,4.0
ELTHAM,670000,750000,815000,930000,942500,928000,995000,1234500,1255000,1190000,1245500,1200000,5.0,86.0,6.4
ELTHAM NORTH,680000,758000,854500,900000,930500,930000,1050000,1237500,1237000,1250000,1244000,1220000,0.0,83.0,6.2
ELWOOD,1412500,1631000,1841500,1900000,2140000,1950000,2110000,2217500,2605000,2210000,2075000,^ 2100000,-6.0,47.0,3.9
ESSENDON,942000,1228000,1365000,1400000,1691000,1450000,1520000,1750000,1845500,1795000,1741500,1425000,-3.0,85.0,6.3
ESSENDON NORTH,840000,808000,875000,1100000,1145000,1100000,1260000,1400000,1510000,1212000,1231000,^ 1202500,2.0,47.0,3.9
ESSENDON WEST,785000,920000,962500,1296000,1221000,1180000,1275000,1390000,1265500,1165000,1675000,^ 1550000,44.0,113.0,7.9
FAIRFIELD,945000,1111500,1303000,1496000,1316000,1295000,1395500,1700000,1770000,1585000,1625000,^ 1400000,3.0,72.0,5.6
FAWKNER,444000,510000,587500,705000,720000,665000,715000,815000,770000,770000,780000,805000,1.0,76.0,5.8
FERNTREE GULLY,505000,599000,660000,749000,732500,692000,750000,865000,873000,890000,888500,840000,0.0,76.0,5.8
FITZROY,1130000,1297500,1600000,1625000,1450000,1400000,1400000,1518000,1502500,1530000,1750000,^ 1290000,14.0,55.0,4.5
FITZROY NORTH,1014000,1188000,1279000,1450000,1475000,1385000,1600000,1706000,1632500,1605000,1540000,^ 1282500,-4.0,52.0,4.3
FLEMINGTON,730000,830000,918000,1100000,926500,1000000,1028500,1250000,1103500,1017000,1085000,^ 1022000,7.0,49.0,4.0
FOOTSCRAY,645000,690500,775000,883500,899000,812000,870000,962500,993000,920000,960000,942500,4.0,49.0,4.1
FOREST HILL,721000,892000,933500,1060000,935000,900000,986000,1207500,1155500,1251000,1200000,^ 1407500,-4.0,66.0,5.2
FRANKSTON,372000,426000,474000,600000,605000,581000,621500,750000,764500,736000,740000,725000,1.0,99.0,7.1
FRANKSTON NORTH,269000,297000,352000,470000,502000,423000,450000,580000,610000,574000,595000,597500,4.0,121.0,8.3
FRANKSTON SOUTH,560000,620000,690000,815500,855000,817500,860000,1150000,1200000,1160000,1150000,1045000,-1.0,105.0,7.5
GARDENVALE,^ 1180000,^ 1348000,1857500,1880000,1830000,1740000,^ 1900000,2120000,^ 2005000,2300000,1810000,,-21.0,53.0,4.4
GLEN HUNTLY,1135000,1350000,1330000,1415000,1253000,1440000,1342500,2002500,1570000,1735500,1535000,,-12.0,35.0,3.1
GLEN IRIS,1500000,1800000,1935000,2025000,1927500,1967000,2136000,2492500,2500000,2500000,2370000,2317500,-5.0,58.0,4.7
GLEN WAVERLEY,960000,1212500,1221000,1337500,1300000,1287500,1304000,1558500,1560000,1659000,1660000,1558000,0.0,73.0,5.6
GLENROY,500000,560000,600000,730000,725000,700000,740000,835000,850000,792500,827000,850000,4.0,65.0,5.2
GOWANBRAE,557500,573000,619000,790000,727500,700500,739000,940000,902500,865000,1025000,^ 910000,18.0,84.0,6.3
GREENSBOROUGH,574000,635000,717000,830000,815000,798000,850000,1001000,1000000,980000,1020000,995000,4.0,78.0,5.9
HADFIELD,500000,550000,624500,740500,741500,730000,745000,890000,888000,850000,850500,^ 907000,0.0,70.0,5.5
HAMPTON,1340000,1650000,1800000,2020000,1905000,1900000,2000000,2420000,2350000,2385000,2480000,1925000,4.0,85.0,6.3
HAMPTON EAST,862500,1020000,1200000,1340000,1230000,1211500,1290500,1512500,1610000,1490000,1430000,^ 1680000,-4.0,66.0,5.2
HAWTHORN,1606500,1916500,2245000,2650000,2506500,2200000,2525000,2900000,2500000,2910000,2900000,^ 5087500,0.0,81.0,6.1
HAWTHORN EAST,1554000,1850000,1890000,2350000,2221500,2087500,2383000,2280000,2655000,2770000,2585000,^ 1955500,-7.0,66.0,5.2
HEATHERTON,712000,771000,845000,981000,935000,965000,964000,1140000,1147000,1150000,1100000,^ 1000000,-4.0,55.0,4.4
HEATHMONT,638000,760000,789000,925000,932000,873000,930000,1094000,1077000,1068000,1035000,^ 1080000,-3.0,62.0,5.0
HEIDELBERG,831000,1060000,1150000,1280000,1114000,1107500,1283000,1500000,1435000,1437500,1374000,^ 997500,-4.0,65.0,5.2
HEIDELBERG HEIGHTS,554000,675500,750000,843000,820000,790000,805000,1000000,1030000,1000000,960000,^ 865000,-4.0,73.0,5.6
HEIDELBERG WEST,461000,580000,630000,730000,700000,670000,719000,810000,803500,751000,797000,^ 801000,6.0,73.0,5.6
HIGHETT,850000,992500,1175000,1318500,1275000,1234000,1325000,1585000,1477500,1455000,1456000,^ 1400000,0.0,71.0,5.5
HOPPERS CROSSING,340000,365500,415000,,552000,526500,550000,585000,620000,615000,620000,,1.0,82.0,6.2
HUGHESDALE,856000,1165000,1222500,,1260000,1150500,1300000,1507500,1500000,1422000,1421000,,0.0,66.0,5.2
